ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,623.42,128,28.30,53.231,127,28.44,183560284
4096,2048,628.05,128,28.19,55.504,127,28.35,248088668
6144,2048,633.91,128,28.37,53.628,127,28.52,312617052
8192,2048,636.86,128,28.33,50.281,127,28.47,377145436
10240,2048,638.35,128,28.39,50.359,127,28.52,441673820
12288,2048,638.88,128,28.36,48.453,127,28.48,506202204
14336,2048,645.61,128,28.45,46.532,127,28.56,570730588
16384,2048,638.46,128,28.19,49.035,127,28.31,635258972
18432,2048,641.42,128,28.28,47.955,127,28.40,699787356
20480,2048,641.84,128,28.36,61.954,127,28.56,764315740
22528,2048,635.91,128,27.87,55.186,127,28.02,828844124
24576,2048,633.28,128,28.34,53.999,127,28.49,893372508
26624,2048,635.37,128,28.30,54.396,127,28.45,957900892
28672,2048,632.65,128,28.17,53.256,127,28.32,1022429276
30720,2048,628.48,128,28.25,56.262,127,28.41,0
32768,2048,602.09,128,27.98,58.475,127,28.17,0
34816,2048,560.40,128,27.02,56.661,127,27.16,0
36864,2048,524.60,128,26.61,187.579,127,27.50,0
38912,2048,580.94,128,27.46,55.674,127,27.61,0
40960,2048,581.84,128,27.17,62.839,127,27.37,0
43008,2048,590.55,128,27.28,59.645,127,27.45,0
45056,2048,582.85,128,27.32,65.336,127,27.54,0
47104,2048,586.53,128,27.28,56.240,127,27.43,0
49152,2048,585.30,128,27.21,55.652,127,27.36,0
51200,2048,568.10,128,27.31,70.961,127,27.55,0
53248,2048,577.54,128,27.31,58.618,127,27.47,0
55296,2048,578.25,128,27.41,58.118,127,27.57,0
