ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
4096,4096,733.45,64,27.43,47.906,63,27.61,248088668
6144,2048,726.46,64,27.54,46.967,63,27.72,312617052
8192,2048,712.85,64,27.31,48.636,63,27.50,377145436
10240,2048,724.13,64,27.68,45.219,63,27.83,441673820
12288,2048,707.35,64,27.47,51.115,63,27.69,506202204
14336,2048,709.12,64,26.57,46.359,63,26.71,570730588
16384,2048,694.79,64,27.51,57.927,63,27.80,635258972
18432,2048,722.60,64,27.72,45.143,63,27.87,699787356
20480,2048,722.40,64,28.09,42.938,63,28.21,764315740
22528,2048,720.66,64,28.03,44.163,63,28.16,828844124
24576,2048,698.71,64,27.58,54.126,63,27.84,893372508
26624,2048,711.70,64,26.94,47.447,63,27.10,957900892
28672,2048,708.27,64,27.53,49.706,63,27.72,1022429276
30720,2048,710.20,64,27.48,50.948,63,27.70,0
32768,2048,672.16,64,26.47,52.064,63,26.67,0
