ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,335.66,128,29.43,37.109,127,29.48,377145436
10240,2048,340.79,128,29.26,42.674,127,29.36,441673820
12288,2048,338.75,128,29.60,36.812,127,29.66,506202204
14336,2048,342.56,128,30.08,42.451,127,30.19,570730588
16384,2048,355.70,128,29.79,40.794,127,29.88,635258972
18432,2048,357.03,128,30.97,37.879,127,31.05,699787356
20480,2048,352.56,128,30.48,37.321,127,30.55,764315740
22528,2048,345.35,128,30.57,35.912,127,30.63,828844124
24576,2048,360.18,128,30.35,36.244,127,30.40,893372508
26624,2048,363.64,128,30.27,36.558,127,30.33,957900892
28672,2048,378.94,128,29.97,35.584,127,30.02,1022429276
30720,2048,370.12,128,30.04,37.000,127,30.10,0
32768,2048,369.86,128,29.81,70.509,127,30.11,0
