sum_us	count	us_per_call	pct_gpu	sum_gap_us	kernel
652914.2	6344	102.92	32.96	51572.3	kernel_mul_mv_q8_0_f32
215151.1	2256	95.37	10.86	3744.4	kernel_qwen4_moe_mid
176614.7	48	3679.47	8.92	4.8	kernel_qwen4_moe_mm_mid_nax64
144334.4	2256	63.98	7.29	14619.2	kernel_qwen4_moe_down
138572.0	4560	30.39	7.00	5818.2	kernel_mul_mv_f16_f32_4
134649.0	4560	29.53	6.80	6996.1	kernel_qwen4_hc_gate_mix_f16_pf
101701.8	326	311.97	5.13	2502.4	kernel_mul_mm_q8_0_f32
76636.5	48	1596.59	3.87	308.5	kernel_qwen4_moe_mm_down_nax64
54641.9	2256	24.22	2.76	9.9	kernel_mul_mv_f32_f32_4
46296.5	4608	10.05	2.34	318.8	kernel_qwen4_hc_norm_f16
37812.2	192	196.94	1.91	3400.1	kernel_mul_mm_f16_f32
36496.7	1728	21.12	1.84	169.5	kernel_qwen4_gdn_scan_r4
24139.1	2304	10.48	1.22	22.7	kernel_qwen4_moe_reduce
24031.8	1692	14.20	1.21	3832.2	kernel_qwen4_gdn_front
19517.4	2304	8.47	0.99	41238.1	kernel_qwen4_router_topk
18583.4	2304	8.07	0.94	3874.8	kernel_qwen4_hc_combine
15637.1	120	130.31	0.79	0.0	kernel_qwen4_dense_mm
14008.0	564	24.84	0.71	2.7	kernel_qwen4_multi_gemv
13718.1	564	24.32	0.69	11065.1	kernel_qwen4_attn_decode_npt8
9369.9	576	16.27	0.47	10.8	kernel_qwen4_attn_prep
6790.9	1728	3.93	0.34	4329.3	kernel_qwen4_gdn_out
4893.5	2	2446.73	0.25	0.0	kernel_mul_mv_q8_0_f32+kernel_dsv4_tp_keepalive
3380.3	564	5.99	0.17	0.0	kernel_qwen4_attn_merge_wide_npt8
2235.5	48	46.57	0.11	34532.1	kernel_qwen4_ple_gate
2209.7	156	14.16	0.11	0.0	kernel_qwen4_idx_block_key
2120.2	96	22.09	0.11	29.4	kernel_qwen4_hc_mix_rows
1847.0	36	51.31	0.09	0.0	kernel_qwen4_conv_stream
754.9	12	62.91	0.04	0.0	kernel_qwen4_attn_mm
417.0	48	8.69	0.02	0.0	kernel_qwen4_ple_conv
293.9	48	6.12	0.01	0.0	kernel_qwen4_hc_norm_f32
270.5	96	2.82	0.01	310.4	kernel_qwen4_hc_lo_act
233.2	36	6.48	0.01	930.0	kernel_qwen4_gdn_prep
159.0	48	3.31	0.01	14.3	kernel_swiglu_flat_f32
152.4	48	3.17	0.01	18.3	kernel_qwen4_moe_build_lists
137.5	48	2.86	0.01	2632.7	kernel_qwen4_rows_f32_to_f16
