workload,ctx,cache_gb,gen,prefill_tps,gen_tps,gen_steady_tps,gen_first_ms,step_ms,gpu_busy_ms,pread_ms,engram_ms,host_gap_ms,pread_mib,hits,misses,decode_hit_rate,cache_experts,cache_hit_rate,wired_steady_gib,wired_peak_gib,wired_window,wired_idle_gib,swap_delta_mib,contaminated,router_log
code,4096,8,2000,198.69,6.62,6.62,355.097,151.074,59.747,40.813,0.581,49.93300000000001,1843.145,45.83,194.17,0.1909583333333333,95,0.191,13.1783447265625,18.871170043945312,decode,2.7005767822265625,-8.0,False,/Users/dongnh/orca/workspaces/ds4-metal-data/v41-phase0/20260924/code-c4096-g8-n2000.router.log
docs,4096,8,2000,193.43,6.52,6.52,334.122,153.417,59.179,40.834,0.585,52.818999999999996,1822.916,47.96,192.04,0.19983333333333334,95,0.2,13.165206909179688,18.990890502929688,decode,2.7207489013671875,0.0,False,/Users/dongnh/orca/workspaces/ds4-metal-data/v41-phase0/20260924/docs-c4096-g8-n2000.router.log
it,4096,8,2000,197.88,7.21,7.22,320.98,138.642,58.794,37.464,0.587,41.797,1636.551,67.59,172.41,0.281625,95,0.282,13.16387939453125,18.860336303710938,decode,2.71588134765625,-8.0,False,/Users/dongnh/orca/workspaces/ds4-metal-data/v41-phase0/20260924/it-c4096-g8-n2000.router.log
switch,32768,16,512,427.35,7.56,7.6,439.909,132.264,60.408,26.329,0.572,44.955000000000005,900.126,145.17,94.83,0.6048749999999999,958,0.6,21.36468505859375,35.56512451171875,decode,2.7136993408203125,0.0,False,
switch,32768,24,512,414.47,7.81,7.85,435.746,127.982,59.913,22.59,0.565,44.914,633.474,173.26,66.74,0.7219166666666667,1821,0.712,29.376907348632812,40.52458190917969,decode,2.709686279296875,0.0,False,
switch,32768,4,512,464.41,5.26,5.28,527.409,190.099,69.888,47.792,0.6,71.81899999999999,2278.125,0.0,240.0,0.0,1,0.0,12.520736694335938,23.604141235351562,decode,2.7053375244140625,0.0,False,
switch,32768,8,512,446.17,6.22,6.25,502.531,160.689,62.979,40.671,0.598,56.440999999999995,1801.143,50.25,189.75,0.209375,95,0.209,13.3406982421875,24.377593994140625,decode,2.7060089111328125,0.0,False,
switch,4096,16,512,192.65,7.85,7.86,257.452,127.417,57.124,26.364,0.567,43.362,936.853,141.3,98.7,0.58875,958,0.584,21.176834106445312,26.862655639648438,decode,2.7030792236328125,0.0,False,
switch,4096,24,512,186.7,7.9,7.92,259.404,126.56,57.541,22.468,0.554,45.997,664.435,170.0,70.0,0.7083333333333334,1821,0.698,29.194366455078125,38.32771301269531,decode,2.678802490234375,0.0,False,
switch,4096,4,512,195.95,5.52,5.53,362.628,181.248,64.171,48.184,0.596,68.29699999999998,2278.125,0.0,240.0,0.0,1,0.0,12.344390869140625,20.553176879882812,decode,2.70306396484375,0.0,False,
switch,4096,8,2000,196.45,6.75,6.75,357.216,148.226,58.918,39.854,0.586,48.867999999999995,1773.943,53.12,186.88,0.22133333333333333,95,0.221,13.1688232421875,21.091766357421875,decode,2.6997528076171875,0.0,False,/Users/dongnh/orca/workspaces/ds4-metal-data/v41-phase0/20260924/switch-c4096-g8-n2000.router.log
switch,4096,8,512,195.89,6.5,6.51,367.889,153.915,59.535,40.868,0.59,52.92199999999999,1816.048,48.68,191.32,0.20283333333333334,95,0.203,13.159210205078125,18.981597900390625,decode,2.7060089111328125,0.0,False,
switch,8192,16,512,295.93,8.72,8.76,429.002,114.729,57.23,19.987,0.574,36.938,670.404,169.37,70.63,0.7057083333333334,958,0.701,21.211822509765625,28.3675537109375,decode,2.599609375,0.0,False,
switch,8192,24,512,287.95,9.0,9.04,374.265,111.138,56.96,16.603,0.574,37.001000000000005,465.247,190.99,49.01,0.7957916666666667,1821,0.785,29.235946655273438,36.21282958984375,decode,2.698333740234375,0.0,False,
switch,8192,4,512,317.94,5.55,5.57,477.992,180.138,67.811,47.017,0.591,64.71900000000001,2278.125,0.0,240.0,0.0,1,0.0,12.357391357421875,19.340377807617188,decode,2.614044189453125,0.0,False,
switch,8192,8,512,306.04,6.97,7.0,485.748,143.423,59.681,37.599,0.591,45.55200000000001,1666.083,64.48,175.52,0.26866666666666666,95,0.268,13.189529418945312,22.389801025390625,decode,2.7120819091796875,0.0,False,
