workload,ctx,cache_gb,gen,prefill_tps,gen_tps,gen_steady_tps,gen_first_ms,step_ms,gpu_busy_ms,pread_ms,engram_ms,host_gap_ms,readahead_ms,host_ms,pread_mib,hits,misses,decode_hit_rate,cache_experts,cache_hit_rate,wired_steady_gib,wired_peak_gib,wired_window,wired_idle_gib,swap_delta_mib,contaminated,router_log
switch,32768,16,512,414.54,8.34,8.37,356.57,119.931,61.04,26.52,0.581,31.789999999999996,28.119703125,3.6702968749999947,899.737,145.21,94.79,0.6050416666666667,958,0.601,21.406463623046875,35.076568603515625,decode,3.2125701904296875,0.0,False,
switch,32768,24,512,385.87,8.55,8.58,351.875,116.959,61.395,23.049,0.587,31.928,27.194609375,4.733390625000002,633.566,173.25,66.75,0.721875,1821,0.712,29.42066192626953,40.44927978515625,decode,2.7555389404296875,0.0,False,
switch,32768,4,512,460.65,5.62,5.63,419.136,178.036,70.394,47.543,0.616,59.483,37.56475390625,21.91824609375,2278.125,0.0,240.0,0.0,1,0.0,12.556060791015625,26.55865478515625,decode,2.7169036865234375,0.0,False,
switch,32768,8,512,447.14,5.68,5.69,378.153,176.093,70.736,47.907,0.615,56.83499999999999,38.879197265625,17.955802734374984,2278.032,0.01,239.99,4.1666666666666665e-05,95,0.0,13.401718139648438,24.416275024414062,decode,2.81231689453125,0.0,False,
switch,4096,16,512,197.11,8.66,8.67,240.625,115.535,58.453,26.498,0.58,30.003999999999994,26.688107421875,3.315892578124995,937.075,141.28,98.72,0.5886666666666667,958,0.584,21.22148895263672,26.888961791992188,decode,2.7352294921875,0.0,False,
switch,4096,24,512,190.45,8.91,8.92,207.823,112.292,58.203,22.66,0.575,30.854,26.38708984375,4.466910156249998,664.546,169.99,70.01,0.7082916666666667,1821,0.698,29.23004150390625,38.40216064453125,decode,2.7386474609375,0.0,False,
switch,4096,4,512,216.64,6.13,6.14,334.069,163.159,65.344,45.88,0.601,51.333999999999996,31.604484375,19.729515624999998,2278.125,0.0,240.0,0.0,1,0.0,12.367691040039062,21.27783203125,decode,2.738189697265625,0.0,False,
switch,4096,8,512,204.81,5.96,5.98,341.182,167.688,66.671,47.348,0.611,53.057999999999986,35.7034140625,17.354585937499984,2278.014,0.01,239.99,4.1666666666666665e-05,95,0.0,13.208023071289062,18.898513793945312,decode,2.7392120361328125,0.0,False,
switch,8192,16,512,299.57,9.88,9.92,340.136,101.244,58.281,20.772,0.591,21.6,18.5327421875,3.067257812500003,669.329,169.49,70.51,0.7062083333333333,958,0.701,21.244552612304688,28.414993286132812,decode,2.7373046875,0.0,False,
switch,8192,24,512,292.34,10.31,10.35,292.318,96.992,57.555,16.898,0.562,21.977000000000004,18.039890625,3.937109375000002,465.228,190.99,49.01,0.7957916666666667,1821,0.785,29.2755126953125,36.41619873046875,decode,2.7540740966796875,0.0,False,
switch,8192,4,512,320.42,6.04,6.06,391.75,165.486,67.434,46.757,0.619,50.675999999999995,28.50436328125,22.171636718749994,2278.125,0.0,240.0,0.0,1,0.0,12.400192260742188,19.479721069335938,decode,2.7554931640625,0.0,False,
switch,8192,8,512,312.99,6.11,6.13,397.681,163.594,67.08,47.322,0.615,48.57699999999999,30.54423046875,18.03276953124999,2278.032,0.01,239.99,4.1666666666666665e-05,95,0.0,13.231170654296875,20.386093139648438,decode,2.73638916015625,0.0,False,
