workload,ctx,cache_gb,gen,prefill_tps,gen_tps,gen_steady_tps,gen_first_ms,step_ms,gpu_busy_ms,pread_ms,engram_ms,host_gap_ms,readahead_ms,host_ms,pread_mib,hits,misses,decode_hit_rate,cache_experts,cache_hit_rate,wired_steady_gib,wired_peak_gib,wired_window,wired_idle_gib,swap_delta_mib,contaminated,router_log
switch,32768,16,512,426.37,8.34,8.37,329.625,119.912,60.956,26.913,0.602,31.441000000000006,27.716373046875,3.724626953125007,899.737,145.21,94.79,0.6050416666666667,958,0.601,21.40667724609375,32.4373779296875,decode,3.64837646484375,0.0,False,
switch,32768,24,512,405.94,8.58,8.61,296.384,116.509,61.653,22.923,0.573,31.360000000000003,26.57240625,4.787593750000003,633.566,173.25,66.75,0.721875,1821,0.712,29.427085876464844,40.61018371582031,decode,2.7445220947265625,0.0,False,
switch,32768,4,512,458.53,5.72,5.74,482.999,174.925,66.975,47.66,0.642,59.64800000000002,38.057244140625,21.590755859375015,2278.125,0.0,240.0,0.0,1,0.0,12.560882568359375,23.530288696289062,decode,2.759368896484375,0.0,False,
switch,32768,8,512,451.36,6.45,6.47,424.587,155.073,64.787,41.145,0.71,48.431,34.345548828125,14.085451171875,1801.124,50.25,189.75,0.209375,95,0.209,13.39349365234375,24.506057739257812,decode,2.8171234130859375,0.0,False,
switch,4096,16,512,194.49,8.66,8.67,190.224,115.423,58.13,26.725,0.611,29.956999999999997,26.487138671875,3.4698613281249955,937.075,141.28,98.72,0.5886666666666667,958,0.584,21.21923065185547,26.908905029296875,decode,2.7430419921875,0.0,False,
switch,4096,24,512,190.09,8.88,8.89,219.181,112.672,58.313,22.944,0.584,30.830999999999996,26.2225859375,4.608414062499996,664.546,169.99,70.01,0.7082916666666667,1821,0.698,29.243072509765625,35.897674560546875,decode,2.744659423828125,0.0,False,
switch,4096,4,512,209.76,6.23,6.24,321.825,160.563,62.321,45.988,0.6,51.65399999999999,32.498837890625,19.15516210937499,2278.125,0.0,240.0,0.0,1,0.0,12.381050109863281,18.010009765625,decode,2.76177978515625,0.0,False,
switch,4096,8,512,202.14,6.73,6.74,324.526,148.649,61.663,40.51,0.607,45.86900000000001,31.831552734375,14.037447265625008,1816.067,48.68,191.32,0.20283333333333334,95,0.203,13.200653076171875,22.17523193359375,decode,2.7437896728515625,0.0,False,
switch,8192,16,512,298.19,10.03,10.06,269.234,99.684,57.254,20.236,0.565,21.628999999999998,18.172787109375,3.4562128906249967,669.329,169.49,70.51,0.7062083333333333,958,0.701,21.24938201904297,28.395828247070312,decode,2.7540130615234375,0.0,False,
switch,8192,24,512,291.3,10.32,10.35,246.598,96.921,57.634,16.993,0.554,21.74000000000001,17.634599609375,4.105400390625007,465.228,190.99,49.01,0.7957916666666667,1821,0.785,29.278419494628906,36.41389465332031,decode,2.7436981201171875,0.0,False,
switch,8192,4,512,312.47,6.31,6.33,401.691,158.458,62.28,46.708,0.611,48.859,29.3458515625,19.513148437500003,2278.125,0.0,240.0,0.0,1,0.0,12.402000427246094,19.5025634765625,decode,2.7520904541015625,0.0,False,
switch,8192,8,512,307.26,7.13,7.16,450.126,140.338,63.898,38.133,0.619,37.687999999999995,25.977740234375,11.710259765624997,1666.083,64.48,175.52,0.26866666666666666,95,0.268,13.227485656738281,20.37298583984375,decode,2.7437744140625,0.0,False,
